,mean_growth_rate,ruin_probability,mean_final_assets,sharpe_ratio
insurance_optimization_baseline,0.06917277898585213,0.015443716886069134,9981441.565235667,0.46115185990568086
insurance_optimization_insurance_premium_rate_low,0.2775357943857747,0.0,10005668.59599189,1.850238629238498
insurance_optimization_insurance_premium_rate_high,-0.16186779260849482,0.15389750072158606,9406298.1174402,-1.0791186173899656
insurance_optimization_insurance_limit_low,0.05099006783097929,0.015180462976553993,9262058.385045497,0.339933785539862
insurance_optimization_insurance_limit_high,0.05919813374023782,0.013597255138967174,9757615.516147045,0.3946542249349188
insurance_optimization_manufacturer_target_margin_low,0.05351198056835682,0.01632390123240205,9338866.068238117,0.3567465371223788
insurance_optimization_manufacturer_target_margin_high,0.07027759561105415,0.019402263441683925,11045419.331501862,0.46851730407369435
