,mean,std,min,max,range,cv,anova
mean_growth_rate,0.05995868921513991,0.11903982949943394,-0.15870400001588797,0.28637166866076524,0.4450756686766532,1.9853641074824515,{'significant_difference': np.True_}
ruin_probability,0.031226882588423332,0.04940314134124799,0.0,0.15165729368142652,0.15165729368142652,1.5820708711910647,{'significant_difference': np.True_}
mean_final_assets,10063158.439019734,711661.9964944866,8569463.870600527,10621214.310811019,2051750.4402104914,0.07071954603586769,{'significant_difference': np.True_}
sharpe_ratio,0.3997245947675993,0.7935988633295595,-1.0580266667725866,1.909144457738435,2.9671711245110215,1.9853641074824517,{'significant_difference': np.True_}
